DATA
FORMAT
aX, aY, aZ, gX, gY, gZ
136,-488,15256,-410,-68,199

-116,-316,15180,-97,46,1020

60,1428,19404,-2016,-578,1483

632,3576,14772,-300,44,472

-4636,28780,-3816,30488,32271,18347

27000,-20916,-2888,-13207,-14006,7817

2992,15812,52,-32768,-30606,1410

-12292,23608,5600,-17725,-24371,334

1444,13752,2812,8936,15918,-1311

-7112,15172,-852,620,965,291

-6656,14780,-1580,-111,118,225

-6644,14648,-2312,-138,123,201

-6672,14616,-2684,-176,81,226

-6460,14624,-2764,5,353,46

-6884,14456,-3520,-186,-19,201

-6700,14464,-3748,-174,113,201

-6480,14556,-4140,-204,75,216

-6524,14452,-4276,-231,85,199

-6508,14616,-4520,-240,-34,193

-6460,14468,-4576,-213,87,215

-6552,14484,-4752,-245,61,210

-6448,14540,-4788,-237,23,233

-6464,14388,-4716,-241,72,202

-6452,14456,-4760,-246,40,226

-6496,14556,-4676,-237,44,233

-6448,14548,-4728,-238,76,198

-6556,14480,-4920,-252,46,247

-6584,14428,-4684,-273,57,179

-6420,14548,-4776,-273,35,174

-6428,14424,-4724,-238,38,235

-6580,14468,-4680,-241,77,179

-6476,14520,-4788,-245,43,219

-6548,14496,-4792,-237,54,222

-6416,14420,-4676,-245,39,199

-6428,14492,-4868,-199,13,297

-6540,14484,-4708,-243,30,250

-6556,14352,-4816,-235,83,197

-6448,14420,-4800,-249,47,251

-6456,14340,-4676,-236,72,231

-6980,15016,-4260,-251,36,464

-6576,14376,-4800,-238,50,224

-6708,14388,-4692,-232,41,193

-6584,14448,-4940,-245,14,211

-6452,14496,-4724,-230,97,174

-6492,14428,-4840,-222,69,226

-6488,14460,-4880,-251,44,196

-6564,14420,-4560,-224,3,268

-8268,13400,-5280,-1001,792,-2121

-11044,11336,184,-1264,-995,-379

-9652,8920,7232,-1228,-1919,-104

2008,2520,15000,-3953,-5127,692

4668,-16,14636,-367,137,94

4632,-532,14532,-227,43,170

-8692,5508,1456,-13030,-21483,1696

-11408,16884,492,-8693,22047,26552

19524,22208,2228,5227,-4371,-4553

-17176,14308,6660,-2299,14761,7783

3820,11708,15560,-4326,-10869,-2161

2856,4652,13900,-426,213,-14

2408,4176,14516,-283,200,-58

2448,3836,14288,-251,24,151

2280,4084,14496,-219,72,109

2160,4028,14484,-303,58,203

2036,3720,14416,-261,153,113

-13984,14852,11020,1020,7052,-2794

-6804,13788,1268,-656,1157,344

-7212,14324,-508,9,206,202

-7184,14368,-1304,-239,92,168

-7436,14356,-1432,-241,94,144

-7280,14364,-1392,-212,136,217

-7360,14388,-1160,-245,69,194

-7228,14312,-1328,-212,30,190

-7304,14440,-1484,-267,77,172

-7256,14316,-1544,-254,12,215

-7244,14408,-1320,-235,59,200

-7316,14340,-1664,-242,-3,212

-7312,14456,-1504,-278,32,223

-7352,14260,-1680,-70,26,314

4588,8012,12684,-1236,-1294,-96

-1008,26412,-420,-7932,4793,2489

-1288,10148,-3268,-1314,4976,2593

-1624,12164,-1284,-1085,-7080,-1945

-2236,22216,-7584,-6857,-8192,-2972

14452,32384,-26388,32767,-18395,-7178

3912,21992,-17504,32767,-4757,-2753

3880,5676,-3428,18825,-2338,2870

1744,3544,-844,18072,-2718,-1555

2664,15200,1372,1455,-8928,1622

5732,16500,3084,2089,-3609,63

2528,16112,5480,1571,-2096,665

2680,15392,1304,1837,-5769,594

-1904,16624,13784,-6510,-14105,16576

9048,18268,-360,20585,7122,-12121

-20908,7308,-4424,-6707,8032,-5366

-13032,4068,-12372,-2756,3008,1680

-12196,1084,-8524,-710,1151,-2487

-12452,-188,-14956,3669,176,7373

-7600,-692,-15356,-1410,-845,4626

-6212,-1528,-14920,166,-935,818

-10632,-2900,-17688,-986,-1241,-4386

-11164,-4904,-15468,-1786,-1178,-3417

-10004,-3200,-10032,-341,635,-481

-10568,-4704,-10028,747,2004,-1030

-12708,-4672,-12200,1670,989,875

-12204,-4292,-14476,969,-1329,6333

-13324,5372,-14244,-3217,2421,2697

-7728,26964,-9460,7306,20626,6956

-6844,8504,-10932,5897,-1389,4120

-5072,12504,-12484,943,115,1163

